index,features_of_interest_in_go_term,features_of_interest_in_go_term_gene_symbols,go_domain,go_name,n_background_in_go_term,n_features_of_interest_in_go_term,n_features_total_in_go_term,p_value,bonferonni_corrected_p_value,phenotype
GO:0006921,"ENSG00000100813,ENSG00000138794,ENSG00000104067,ENSG00000160049,ENSG00000164305","ACIN1,CASP6,TJP1,DFFA,CASP3",biological_process,cellular component disassembly involved in execution phase of apoptosis,11,5,51,0.00300375684169,0.726909155689,NPC
GO:0033554,"ENSG00000173933,ENSG00000164609,ENSG00000154582,ENSG00000100644,ENSG00000248643","RBM4,SLU7,TCEB1,HIF1A,RBM14-RBM4",biological_process,cellular response to stress,11,5,44,0.00300375684169,0.726909155689,NPC
GO:0043161,"ENSG00000258677,ENSG00000113851,ENSG00000104343,ENSG00000081154,ENSG00000197111,ENSG00000063978,ENSG00000066427","RP11-463D19.2,CRBN,UBE2W,PCNP,PCBP2,RNF4,ATXN3",biological_process,proteasomal ubiquitin-dependent protein catabolic process,18,7,63,0.00315052135769,0.762426168562,NPC
GO:0006913,"ENSG00000138750,ENSG00000185236,ENSG00000143622,ENSG00000169062,ENSG00000167196,ENSG00000168461,ENSG00000094914","NUP54,RAB11B,RIT1,UPF3A,FBXO22,RAB31,AAAS",biological_process,nucleocytoplasmic transport,18,7,117,0.00315052135769,0.762426168562,NPC
GO:0051403,"ENSG00000173933,ENSG00000115966,ENSG00000248643,ENSG00000109339","RBM4,ATF2,RBM14-RBM4,MAPK10",biological_process,stress-activated MAPK cascade,8,4,58,0.00317970536395,0.769488698076,NPC
GO:0045666,"ENSG00000114346,ENSG00000148516,ENSG00000140262,ENSG00000008294","ECT2,ZEB1,TCF12,SPAG9",biological_process,positive regulation of neuron differentiation,8,4,67,0.00317970536395,0.769488698076,NPC
GO:0006144,"ENSG00000239900,ENSG00000138363,ENSG00000156110,ENSG00000114956","ADSL,ATIC,ADK,DGUOK",biological_process,purine nucleobase metabolic process,8,4,37,0.00317970536395,0.769488698076,NPC
GO:0044281,"ENSG00000118298,ENSG00000052802,ENSG00000072042,ENSG00000072571,ENSG00000131828,ENSG00000114956,ENSG00000164405,ENSG00000112972,ENSG00000117054,ENSG00000120992,ENSG00000138363,ENSG00000113161,ENSG00000087460,ENSG00000067064,ENSG00000104325,ENSG00000178741,ENSG00000067829,ENSG00000102893,ENSG00000130066,ENSG00000198431,ENSG00000138750,ENSG00000163002,ENSG00000114491,ENSG00000186469,ENSG00000140374,ENSG00000094914,ENSG00000141349,ENSG00000160752,ENSG00000114450,ENSG00000185627,ENSG00000155096,ENSG00000141027,ENSG00000156110,ENSG00000006625,ENSG00000008311,ENSG00000147383,ENSG00000171720,ENSG00000158864,ENSG00000108559,ENSG00000239900,ENSG00000168393,ENSG00000111581,ENSG00000008394,ENSG00000152904,ENSG00000163754,ENSG00000149809,ENSG00000137944,ENSG00000126088,ENSG00000140612,ENSG00000122643,ENSG00000172531,ENSG00000136143","CA14,MSMO1,RDH11,HMMR,PDHA1,DGUOK,UQCRQ,HMGCS1,ACADM,LYPLA1,ATIC,HMGCR,GNAS,IDI1,DECR1,COX5A,IDH3G,PHKB,SAT1,TXNRD1,NUP54,NUP35,UMPS,GNG2,ETFA,AAAS,G6PC3,FDPS,GNB4,PSMD13,AZIN1,NCOR1,ADK,GGCT,AASS,NSDHL,HDAC3,NDUFS2,NUP88,ADSL,DTYMK,NUP107,MGST1,GGPS1,GYG1,TM7SF2,CCBL2,UROD,SEC11A,NT5C3A,PPP1CA,SUCLA2",biological_process,small molecule metabolic process,241,52,1384,0.00338391878585,0.818908346176,NPC
GO:0051726,"ENSG00000144744,ENSG00000134480,ENSG00000166803,ENSG00000112237,ENSG00000166946,ENSG00000149311","UBA3,CCNH,KIAA0101,CCNC,CCNDBP1,ATM",biological_process,regulation of cell cycle,15,6,101,0.00412187627373,0.997494058243,NPC
GO:0006810,"ENSG00000204843,ENSG00000177879,ENSG00000170310,ENSG00000109919,ENSG00000042753,ENSG00000144136,ENSG00000053438,ENSG00000138757,ENSG00000185009,ENSG00000040341,ENSG00000111581,ENSG00000127914,ENSG00000121073,ENSG00000077380","DCTN1,AP3S1,STX8,MTCH2,AP2S1,SLC20A1,NNAT,G3BP2,AP3M1,STAU2,NUP107,AKAP9,SLC35B1,DYNC1I2",biological_process,transport,48,14,561,0.00423082525885,1.02385971264,NPC
GO:0007283,"ENSG00000114374,ENSG00000076242,ENSG00000008294,ENSG00000108384,ENSG00000075151,ENSG00000108666,ENSG00000166171,ENSG00000012061","USP9Y,MLH1,SPAG9,RAD51C,EIF4G3,C17orf75,DPCD,ERCC1",biological_process,spermatogenesis,23,8,367,0.00493354431114,1.1939177233,NPC
GO:0006406,"ENSG00000160201,ENSG00000111581,ENSG00000079134,ENSG00000151247,ENSG00000188529,ENSG00000205937,ENSG00000162385,ENSG00000133226","U2AF1,NUP107,THOC1,EIF4E,SRSF10,RNPS1,MAGOH,SRRM1",biological_process,mRNA export from nucleus,23,8,72,0.00493354431114,1.1939177233,NPC
GO:0001666,"ENSG00000183044,ENSG00000100644,ENSG00000149311,ENSG00000092108,ENSG00000239900","ABAT,HIF1A,ATM,SCFD1,ADSL",biological_process,response to hypoxia,12,5,173,0.00523267804512,1.26630808692,NPC
GO:0000375,"ENSG00000164609,ENSG00000188529,ENSG00000175324,ENSG00000133226,ENSG00000092208","SLU7,SRSF10,LSM1,SRRM1,GEMIN2",biological_process,"RNA splicing, via transesterification reactions",12,5,28,0.00523267804512,1.26630808692,NPC
GO:0007265,"ENSG00000148484,ENSG00000138592,ENSG00000138757,ENSG00000064490","RSU1,USP8,G3BP2,RFXANK",biological_process,Ras protein signal transduction,9,4,81,0.00625317615678,1.51326862994,NPC
GO:0035329,"ENSG00000114978,ENSG00000164305,ENSG00000104067","MOB1A,CASP3,TJP1",biological_process,hippo signaling cascade,6,3,24,0.00643792465056,1.55797776544,NPC
GO:0006811,"ENSG00000111371,ENSG00000079215,ENSG00000144136","SLC38A1,SLC1A3,SLC20A1",biological_process,ion transport,6,3,307,0.00643792465056,1.55797776544,NPC
GO:0060271,"ENSG00000135541,ENSG00000116747,ENSG00000122545","AHI1,TROVE2,SEPT7",biological_process,cilium morphogenesis,6,3,46,0.00643792465056,1.55797776544,NPC
GO:0030900,"ENSG00000148516,ENSG00000147862,ENSG00000085224","ZEB1,NFIB,ATRX",biological_process,forebrain development,6,3,83,0.00643792465056,1.55797776544,NPC
GO:0000398,"ENSG00000171566,ENSG00000084072,ENSG00000160201,ENSG00000003756,ENSG00000240344,ENSG00000182004,ENSG00000188529,ENSG00000197111,ENSG00000060339,ENSG00000205937,ENSG00000125944,ENSG00000165119,ENSG00000138668,ENSG00000135316,ENSG00000164609,ENSG00000169045,ENSG00000164548,ENSG00000162385,ENSG00000122566,ENSG00000133226,ENSG00000092199","PLRG1,PPIE,U2AF1,RBM5,PPIL3,SNRPE,SRSF10,PCBP2,CCAR1,RNPS1,HNRNPR,HNRNPK,HNRNPD,SYNCRIP,SLU7,HNRNPH1,TRA2A,MAGOH,HNRNPA2B1,SRRM1,HNRNPC",biological_process,"mRNA splicing, via spliceosome",84,21,196,0.00688569768584,1.66633883997,NPC
GO:0000087,"ENSG00000151725,ENSG00000174442,ENSG00000166451,ENSG00000082898,ENSG00000142945,ENSG00000040275,ENSG00000182628,ENSG00000137807,ENSG00000142856,ENSG00000117697,ENSG00000111581,ENSG00000117724","MLF1IP,ZWILCH,CENPN,XPO1,KIF2C,SPDL1,SKA2,KIF23,ITGB3BP,NSL1,NUP107,CENPF",biological_process,M phase of mitotic cell cycle,42,12,98,0.00822515169109,1.99048670924,NPC
GO:0051260,"ENSG00000114346,ENSG00000168958,ENSG00000147601,ENSG00000214253,ENSG00000008294","ECT2,MFF,TERF1,FIS1,SPAG9",biological_process,protein homooligomerization,13,5,161,0.00846882246882,2.04945503745,NPC
GO:0007219,"ENSG00000171720,ENSG00000141027,ENSG00000100644,ENSG00000168214,ENSG00000112237","HDAC3,NCOR1,HIF1A,RBPJ,CCNC",biological_process,Notch signaling pathway,13,5,124,0.00846882246882,2.04945503745,NPC
GO:0000236,"ENSG00000151725,ENSG00000174442,ENSG00000166451,ENSG00000082898,ENSG00000142945,ENSG00000040275,ENSG00000182628,ENSG00000142856,ENSG00000117697,ENSG00000111581,ENSG00000117724","MLF1IP,ZWILCH,CENPN,XPO1,KIF2C,SPDL1,SKA2,ITGB3BP,NSL1,NUP107,CENPF",biological_process,mitotic prometaphase,38,11,88,0.00921353529394,2.22967554113,NPC
GO:0042127,"ENSG00000125954,ENSG00000149554,ENSG00000130066,ENSG00000130816,ENSG00000257365,ENSG00000100644","CHURC1-FNTB,CHEK1,SAT1,DNMT1,FNTB,HIF1A",biological_process,regulation of cell proliferation,17,6,155,0.00941269147924,2.27787133798,NPC
GO:0044255,"ENSG00000104325,ENSG00000141027,ENSG00000198431,ENSG00000112972,ENSG00000117054,ENSG00000113161,ENSG00000171720","DECR1,NCOR1,TXNRD1,HMGCS1,ACADM,HMGCR,HDAC3",biological_process,cellular lipid metabolic process,21,7,156,0.00956374593724,2.31442651681,NPC
GO:0030307,"ENSG00000123737,ENSG00000198000,ENSG00000130713,ENSG00000170242","EXOSC9,NOL8,EXOSC2,USP47",biological_process,positive regulation of cell growth,10,4,71,0.0109380451974,2.64700693776,NPC
GO:0000724,"ENSG00000214941,ENSG00000149311,ENSG00000156831,ENSG00000117748,ENSG00000101773","ZSWIM7,ATM,NSMCE2,RPA2,RBBP8",biological_process,double-strand break repair via homologous recombination,14,5,57,0.0129224706514,3.12723789764,NPC
GO:0006112,"ENSG00000186469,ENSG00000087460,ENSG00000114450,ENSG00000116678,ENSG00000140612","GNG2,GNAS,GNB4,LEPR,SEC11A",biological_process,energy reserve metabolic process,14,5,116,0.0129224706514,3.12723789764,NPC
GO:0001525,"ENSG00000168214,ENSG00000100644,ENSG00000114209,ENSG00000130066,ENSG00000182718","RBPJ,HIF1A,PDCD10,SAT1,ANXA2",biological_process,angiogenesis,14,5,210,0.0129224706514,3.12723789764,NPC
GO:0007179,"ENSG00000082898,ENSG00000172531,ENSG00000114374,ENSG00000141027,ENSG00000112237","XPO1,PPP1CA,USP9Y,NCOR1,CCNC",biological_process,transforming growth factor beta receptor signaling pathway,14,5,124,0.0129224706514,3.12723789764,NPC
GO:0009725,"ENSG00000112972,ENSG00000128739,ENSG00000248643","HMGCS1,SNRPN,RBM14-RBM4",biological_process,response to hormone stimulus,7,3,61,0.01320172272,3.19481689824,NPC
GO:0006954,"ENSG00000107020,ENSG00000111144,ENSG00000126432","PLGRKT,LTA4H,PRDX5",biological_process,inflammatory response,7,3,346,0.01320172272,3.19481689824,NPC
GO:0030218,"ENSG00000100813,ENSG00000005483,ENSG00000164466","ACIN1,KMT2E,SFXN1",biological_process,erythrocyte differentiation,7,3,48,0.01320172272,3.19481689824,NPC
GO:0032869,"ENSG00000253729,ENSG00000151422,ENSG00000168461","PRKDC,FER,RAB31",biological_process,cellular response to insulin stimulus,7,3,60,0.01320172272,3.19481689824,NPC
GO:0016579,"ENSG00000077254,ENSG00000138592,ENSG00000114374","USP33,USP8,USP9Y",biological_process,protein deubiquitination,7,3,34,0.01320172272,3.19481689824,NPC
GO:0051149,"ENSG00000173933,ENSG00000248643,ENSG00000008294","RBM4,RBM14-RBM4,SPAG9",biological_process,positive regulation of muscle cell differentiation,7,3,29,0.01320172272,3.19481689824,NPC
GO:0010212,"ENSG00000105393,ENSG00000149311,ENSG00000148153","BABAM1,ATM,INIP",biological_process,response to ionizing radiation,7,3,46,0.01320172272,3.19481689824,NPC
GO:0071230,"ENSG00000109270,ENSG00000148516,ENSG00000130816","LAMTOR3,ZEB1,DNMT1",biological_process,cellular response to amino acid stimulus,7,3,42,0.01320172272,3.19481689824,NPC
GO:0000723,"ENSG00000147601,ENSG00000253729,ENSG00000035928,ENSG00000149311,ENSG00000117748,ENSG00000049541","TERF1,PRKDC,RFC1,ATM,RPA2,RFC2",biological_process,telomere maintenance,18,6,66,0.0133977088295,3.24224553673,NPC
GO:0008285,"ENSG00000003756,ENSG00000116455,ENSG00000111653,ENSG00000147862,ENSG00000198625,ENSG00000148516,ENSG00000122779,ENSG00000106305,ENSG00000257365","RBM5,WDR77,ING4,NFIB,MDM4,ZEB1,TRIM24,AIMP2,FNTB",biological_process,negative regulation of cell proliferation,31,9,409,0.0144329494958,3.49277377798,NPC
GO:0006511,"ENSG00000114374,ENSG00000154582,ENSG00000182670,ENSG00000078140,ENSG00000140455,ENSG00000156256,ENSG00000170242,ENSG00000077254,ENSG00000100225,ENSG00000138592,ENSG00000066427,ENSG00000167196","USP9Y,TCEB1,TTC3,UBE2K,USP3,USP16,USP47,USP33,FBXO7,USP8,ATXN3,FBXO22",biological_process,ubiquitin-dependent protein catabolic process,45,12,196,0.0151343220889,3.66250594551,NPC
GO:0000278,"ENSG00000174442,ENSG00000134480,ENSG00000082898,ENSG00000142945,ENSG00000204843,ENSG00000117697,ENSG00000097046,ENSG00000077380,ENSG00000151725,ENSG00000040275,ENSG00000117748,ENSG00000117724,ENSG00000185627,ENSG00000175203,ENSG00000078674,ENSG00000151422,ENSG00000182628,ENSG00000142856,ENSG00000049541,ENSG00000111581,ENSG00000139350,ENSG00000144744,ENSG00000166451,ENSG00000127914,ENSG00000140455,ENSG00000035928,ENSG00000135336,ENSG00000137807,ENSG00000141552","ZWILCH,CCNH,XPO1,KIF2C,DCTN1,NSL1,CDC7,DYNC1I2,MLF1IP,SPDL1,RPA2,CENPF,PSMD13,DCTN2,PCM1,FER,SKA2,ITGB3BP,RFC2,NUP107,NEDD1,UBA3,CENPN,AKAP9,USP3,RFC1,ORC3,KIF23,ANAPC11",biological_process,mitotic cell cycle,132,29,352,0.0154971789507,3.75031730606,NPC
GO:0055114,"ENSG00000147383,ENSG00000119004,ENSG00000008394,ENSG00000126432,ENSG00000067829,ENSG00000131828,ENSG00000198431,ENSG00000117054,ENSG00000258653,ENSG00000008311,ENSG00000158864,ENSG00000116791,ENSG00000113161,ENSG00000155463,ENSG00000052802","NSDHL,CYP20A1,MGST1,PRDX5,IDH3G,PDHA1,TXNRD1,ACADM,RP5-1021I20.4,AASS,NDUFS2,CRYZ,HMGCR,OXA1L,MSMO1",biological_process,oxidation-reduction process,60,15,525,0.0165300412246,4.00026997635,NPC
GO:0030335,"ENSG00000166333,ENSG00000163832,ENSG00000151422,ENSG00000008294","ILK,ELP6,FER,SPAG9",biological_process,positive regulation of cell migration,11,4,120,0.0175499521605,4.24708842283,NPC
GO:0006464,"ENSG00000144744,ENSG00000187778,ENSG00000142230,ENSG00000253729,ENSG00000166532,ENSG00000167196","UBA3,MCRS1,SAE1,PRKDC,RIMKLB,FBXO22",biological_process,cellular protein modification process,19,6,166,0.0184603789362,4.46741170257,NPC
GO:0000910,"ENSG00000114346,ENSG00000198901,ENSG00000137807,ENSG00000122545,ENSG00000115561","ECT2,PRC1,KIF23,SEPT7,CHMP3",biological_process,cytokinesis,15,5,63,0.01878953357,4.54706712393,NPC
GO:0006366,"ENSG00000160201,ENSG00000032219,ENSG00000166478,ENSG00000134480,ENSG00000182004,ENSG00000113649,ENSG00000141027,ENSG00000147862,ENSG00000122779,ENSG00000205937,ENSG00000115966,ENSG00000154582,ENSG00000101654,ENSG00000064995,ENSG00000162385,ENSG00000133226,ENSG00000163848","U2AF1,ARID4A,ZNF143,CCNH,SNRPE,TCERG1,NCOR1,NFIB,TRIM24,RNPS1,ATF2,TCEB1,RNMT,TAF11,MAGOH,SRRM1,ZNF148",biological_process,transcription from RNA polymerase II promoter,71,17,353,0.0191959129234,4.64541092747,NPC
GO:0007596,"ENSG00000116266,ENSG00000164924,ENSG00000163808,ENSG00000102265,ENSG00000108384,ENSG00000196262,ENSG00000142945,ENSG00000186469,ENSG00000137807,ENSG00000085063,ENSG00000087460","STXBP3,YWHAZ,KIF15,TIMP1,RAD51C,PPIA,KIF2C,GNG2,KIF23,CD59,GNAS",biological_process,blood coagulation,42,11,504,0.0209818031629,5.07759636543,NPC
GO:0019048,"ENSG00000175575,ENSG00000151657,ENSG00000184990,ENSG00000151725,ENSG00000065427,ENSG00000160752,ENSG00000151247,ENSG00000082898,ENSG00000196262,ENSG00000143553,ENSG00000165119,ENSG00000075151,ENSG00000135316,ENSG00000156976,ENSG00000154582,ENSG00000089157,ENSG00000077380","PAAF1,KIN,SIVA1,MLF1IP,KARS,FDPS,EIF4E,XPO1,PPIA,SNAPIN,HNRNPK,EIF4G3,SYNCRIP,EIF4A2,TCEB1,RPLP0,DYNC1I2",biological_process,virus-host interaction,72,17,370,0.0220444733044,5.33476253965,NPC
GO:0048011,"ENSG00000141367,ENSG00000114346,ENSG00000042753,ENSG00000164305,ENSG00000143622,ENSG00000142856,ENSG00000171720","CLTC,ECT2,AP2S1,CASP3,RIT1,ITGB3BP,HDAC3",biological_process,nerve growth factor receptor signaling pathway,24,7,226,0.0226424863943,5.47948170742,NPC
GO:0006891,"ENSG00000184432,ENSG00000105669,ENSG00000108587","COPB2,COPE,GOSR1",biological_process,intra-Golgi vesicle-mediated transport,8,3,17,0.0232237400762,5.62014509844,NPC
GO:0000289,"ENSG00000151247,ENSG00000076242,ENSG00000156976","EIF4E,MLH1,EIF4A2",biological_process,nuclear-transcribed mRNA poly(A) tail shortening,8,3,32,0.0232237400762,5.62014509844,NPC
GO:0032496,"ENSG00000008394,ENSG00000151422,ENSG00000104067","MGST1,FER,TJP1",biological_process,response to lipopolysaccharide,8,3,141,0.0232237400762,5.62014509844,NPC
GO:0006914,"ENSG00000149547,ENSG00000145782,ENSG00000102710","EI24,ATG12,SUPT20H",biological_process,autophagy,8,3,67,0.0232237400762,5.62014509844,NPC
GO:0040008,"ENSG00000112983,ENSG00000180008,ENSG00000071243","BRD8,SOCS4,ING3",biological_process,regulation of growth,8,3,55,0.0232237400762,5.62014509844,NPC
GO:0006890,"ENSG00000184432,ENSG00000092108,ENSG00000105669","COPB2,SCFD1,COPE",biological_process,"retrograde vesicle-mediated transport, Golgi to ER",8,3,29,0.0232237400762,5.62014509844,NPC
GO:0010628,"ENSG00000122779,ENSG00000140262,ENSG00000130816","TRIM24,TCF12,DNMT1",biological_process,positive regulation of gene expression,8,3,171,0.0232237400762,5.62014509844,NPC
GO:0030324,"ENSG00000172531,ENSG00000151247,ENSG00000147862","PPP1CA,EIF4E,NFIB",biological_process,lung development,8,3,103,0.0232237400762,5.62014509844,NPC
GO:0005975,"ENSG00000141349,ENSG00000067829,ENSG00000102893,ENSG00000138750,ENSG00000163002,ENSG00000163754,ENSG00000108559,ENSG00000072571,ENSG00000111581,ENSG00000094914","G6PC3,IDH3G,PHKB,NUP54,NUP35,GYG1,NUP88,HMMR,NUP107,AAAS",biological_process,carbohydrate metabolic process,38,10,415,0.0241436091751,5.84275342037,NPC
GO:0006446,"ENSG00000178982,ENSG00000156976,ENSG00000100664,ENSG00000075151","EIF3K,EIF4A2,EIF5,EIF4G3",biological_process,regulation of translational initiation,12,4,28,0.0263480051,6.37621723419,NPC
GO:0034080,"ENSG00000151725,ENSG00000048649,ENSG00000142856,ENSG00000166451","MLF1IP,RSF1,ITGB3BP,CENPN",biological_process,CENP-A containing nucleosome assembly at centromere,12,4,38,0.0263480051,6.37621723419,NPC
GO:0016055,"ENSG00000113712,ENSG00000137815,ENSG00000100281,ENSG00000127603","CSNK1A1,RTF1,HMGXB4,MACF1",biological_process,Wnt receptor signaling pathway,12,4,171,0.0263480051,6.37621723419,NPC
GO:0000722,"ENSG00000049541,ENSG00000156831,ENSG00000035928,ENSG00000117748","RFC2,NSMCE2,RFC1,RPA2",biological_process,telomere maintenance via recombination,12,4,26,0.0263480051,6.37621723419,NPC
GO:0018279,"ENSG00000127022,ENSG00000120697,ENSG00000159063,ENSG00000138674,ENSG00000180398","CANX,ALG5,ALG8,SEC31A,MCFD2",biological_process,protein N-linked glycosylation via asparagine,17,5,94,0.0354220457914,8.57213508151,NPC
GO:0007059,"ENSG00000148335,ENSG00000142945,ENSG00000182628,ENSG00000166797,ENSG00000117697,ENSG00000165480,ENSG00000117724","NTMT1,KIF2C,SKA2,FAM96A,NSL1,SKA3,CENPF",biological_process,chromosome segregation,26,7,71,0.0363524093023,8.79728305116,NPC
GO:0030154,"ENSG00000173933,ENSG00000114416,ENSG00000213523,ENSG00000248643,ENSG00000152455,ENSG00000100644,ENSG00000117724","RBM4,FXR1,SRA1,RBM14-RBM4,SUV39H2,HIF1A,CENPF",biological_process,cell differentiation,26,7,461,0.0363524093023,8.79728305116,NPC
GO:0006955,"ENSG00000148516,ENSG00000140262,ENSG00000123737","ZEB1,TCF12,EXOSC9",biological_process,immune response,9,3,561,0.0368001912118,8.90564627325,NPC
GO:0051291,"ENSG00000166333,ENSG00000116266,ENSG00000122545","ILK,STXBP3,SEPT7",biological_process,protein heterooligomerization,9,3,51,0.0368001912118,8.90564627325,NPC
GO:0031398,"ENSG00000106305,ENSG00000140525,ENSG00000169689","AIMP2,FANCI,STRA13",biological_process,positive regulation of protein ubiquitination,9,3,49,0.0368001912118,8.90564627325,NPC
GO:0006284,"ENSG00000129484,ENSG00000139372,ENSG00000170242","PARP2,TDG,USP47",biological_process,base-excision repair,9,3,35,0.0368001912118,8.90564627325,NPC
GO:0006297,"ENSG00000049541,ENSG00000035928,ENSG00000117748","RFC2,RFC1,RPA2",biological_process,"nucleotide-excision repair, DNA gap filling",9,3,20,0.0368001912118,8.90564627325,NPC
GO:0006635,"ENSG00000117054,ENSG00000104325,ENSG00000164751","ACADM,DECR1,PEX2",biological_process,fatty acid beta-oxidation,9,3,39,0.0368001912118,8.90564627325,NPC
GO:0051056,"ENSG00000114346,ENSG00000155366,ENSG00000138757","ECT2,RHOC,G3BP2",biological_process,regulation of small GTPase mediated signal transduction,9,3,180,0.0368001912118,8.90564627325,NPC
GO:0010468,"ENSG00000149554,ENSG00000100644,ENSG00000130816","CHEK1,HIF1A,DNMT1",biological_process,regulation of gene expression,9,3,118,0.0368001912118,8.90564627325,NPC
GO:0031124,"ENSG00000205937,ENSG00000160201,ENSG00000162385,ENSG00000133226","RNPS1,U2AF1,MAGOH,SRRM1",biological_process,mRNA 3'-end processing,13,4,35,0.0375224942444,9.08044360714,NPC
GO:0007568,"ENSG00000198408,ENSG00000127022,ENSG00000102265,ENSG00000113161","MGEA5,CANX,TIMP1,HMGCR",biological_process,aging,13,4,101,0.0375224942444,9.08044360714,NPC
GO:0007417,"ENSG00000148516,ENSG00000169554,ENSG00000106278,ENSG00000135541","ZEB1,ZEB2,PTPRZ1,AHI1",biological_process,central nervous system development,13,4,134,0.0375224942444,9.08044360714,NPC
GO:0007507,"ENSG00000253729,ENSG00000164305,ENSG00000117054,ENSG00000149311","PRKDC,CASP3,ACADM,ATM",biological_process,heart development,13,4,190,0.0375224942444,9.08044360714,NPC
GO:0006334,"ENSG00000127483,ENSG00000166451,ENSG00000151725,ENSG00000048649,ENSG00000187109,ENSG00000142856","HP1BP3,CENPN,MLF1IP,RSF1,NAP1L1,ITGB3BP",biological_process,nucleosome assembly,22,6,162,0.0412974218229,9.99397608115,NPC
GO:0006369,"ENSG00000205937,ENSG00000160201,ENSG00000162385,ENSG00000133226,ENSG00000182004","RNPS1,U2AF1,MAGOH,SRRM1,SNRPE",biological_process,termination of RNA polymerase II transcription,18,5,48,0.0464342142723,11.2370798539,NPC
GO:0000226,"ENSG00000143776,ENSG00000066427,ENSG00000198901,ENSG00000168172,ENSG00000151422","CDC42BPA,ATXN3,PRC1,HOOK3,FER",biological_process,microtubule cytoskeleton organization,18,5,76,0.0464342142723,11.2370798539,NPC
GO:0006626,"ENSG00000164924,ENSG00000168958,ENSG00000214253,ENSG00000072756,ENSG00000173171","YWHAZ,MFF,FIS1,TRNT1,MTX1",biological_process,protein targeting to mitochondrion,18,5,53,0.0464342142723,11.2370798539,NPC
GO:0051289,"ENSG00000095059,ENSG00000116791,ENSG00000156256,ENSG00000104325","DHPS,CRYZ,USP16,DECR1",biological_process,protein homotetramerization,14,4,49,0.0511891740179,12.3877801123,NPC
GO:0007094,"ENSG00000149311,ENSG00000117724,ENSG00000141552,ENSG00000147601","ATM,CENPF,ANAPC11,TERF1",biological_process,mitotic cell cycle spindle assembly checkpoint,14,4,30,0.0511891740179,12.3877801123,NPC
GO:0031175,"ENSG00000143553,ENSG00000078018,ENSG00000149294,ENSG00000126457","SNAPIN,MAP2,NCAM1,PRMT1",biological_process,neuron projection development,14,4,91,0.0511891740179,12.3877801123,NPC
GO:0006886,"ENSG00000177879,ENSG00000214087,ENSG00000082898,ENSG00000141367,ENSG00000198700,ENSG00000184432,ENSG00000042753,ENSG00000164609,ENSG00000143553,ENSG00000143622,ENSG00000185009,ENSG00000185236,ENSG00000168461","AP3S1,ARL16,XPO1,CLTC,IPO9,COPB2,AP2S1,SLU7,SNAPIN,RIT1,AP3M1,RAB11B,RAB31",biological_process,intracellular protein transport,58,13,342,0.052943127941,12.8122369617,NPC
GO:0007584,"ENSG00000239900,ENSG00000012061,ENSG00000113161","ADSL,ERCC1,HMGCR",biological_process,response to nutrient,10,3,78,0.0540416218882,13.0780724969,NPC
GO:0006987,"ENSG00000204843,ENSG00000138674,ENSG00000124783","DCTN1,SEC31A,SSR1",biological_process,activation of signaling protein activity involved in unfolded protein response,10,3,68,0.0540416218882,13.0780724969,NPC
GO:0032201,"ENSG00000049541,ENSG00000035928,ENSG00000117748","RFC2,RFC1,RPA2",biological_process,telomere maintenance via semi-conservative replication,10,3,22,0.0540416218882,13.0780724969,NPC
GO:0032088,"ENSG00000174744,ENSG00000184990,ENSG00000160310","BRMS1,SIVA1,PRMT2",biological_process,negative regulation of NF-kappaB transcription factor activity,10,3,66,0.0540416218882,13.0780724969,NPC
GO:0000381,"ENSG00000173933,ENSG00000248643,ENSG00000003756","RBM4,RBM14-RBM4,RBM5",biological_process,"regulation of alternative mRNA splicing, via spliceosome",10,3,24,0.0540416218882,13.0780724969,NPC
GO:0043154,"ENSG00000089289,ENSG00000126432,ENSG00000170242","IGBP1,PRDX5,USP47",biological_process,negative regulation of cysteine-type endopeptidase activity involved in apoptotic process,10,3,67,0.0540416218882,13.0780724969,NPC
GO:0006261,"ENSG00000129197,ENSG00000117748,ENSG00000035928","RPAIN,RPA2,RFC1",biological_process,DNA-dependent DNA replication,10,3,22,0.0540416218882,13.0780724969,NPC
GO:0006979,"ENSG00000164830,ENSG00000158864,ENSG00000198431,ENSG00000012061,ENSG00000126432","OXR1,NDUFS2,TXNRD1,ERCC1,PRDX5",biological_process,response to oxidative stress,19,5,126,0.0593452151959,14.3615420774,NPC
GO:0030168,"ENSG00000186469,ENSG00000116266,ENSG00000164924,ENSG00000196262,ENSG00000102265","GNG2,STXBP3,YWHAZ,PPIA,TIMP1",biological_process,platelet activation,19,5,218,0.0593452151959,14.3615420774,NPC
GO:0006508,"ENSG00000144744,ENSG00000113851,ENSG00000255439,ENSG00000164305,ENSG00000138794,ENSG00000138468,ENSG00000140612,ENSG00000148950,ENSG00000111144","UBA3,CRBN,RP11-196G11.1,CASP3,CASP6,SENP7,SEC11A,IMMP1L,LTA4H",biological_process,proteolysis,39,9,537,0.0660869148542,15.9930333947,NPC
GO:0006418,"ENSG00000106305,ENSG00000146282,ENSG00000196305,ENSG00000065427,ENSG00000138777","AIMP2,RARS2,IARS,KARS,PPA2",biological_process,tRNA aminoacylation for protein translation,20,5,56,0.0741815977553,17.9519466568,NPC
GO:0030968,"ENSG00000204843,ENSG00000138674,ENSG00000124783","DCTN1,SEC31A,SSR1",biological_process,endoplasmic reticulum unfolded protein response,11,3,87,0.0748940045892,18.1243491106,NPC
