,features_of_interest_in_go_term,features_of_interest_in_go_term_gene_symbols,go_domain,go_name,n_background_in_go_term,n_features_of_interest_in_go_term,n_features_total_in_go_term,negative_log_p_value,bonferonni_corrected_negative_log_p_value,modality,phenotype
GO:0035556,"ENSG00000108953,ENSG00000169189,ENSG00000143776,ENSG00000109046,ENSG00000100528,ENSG00000128656","YWHAE,NSMCE1,CDC42BPA,WSB1,CNIH1,CHN1",biological_process,intracellular signal transduction,8,6,320,5.62191843737,0.279584185406,excluded,iPSC
GO:0006112,"ENSG00000186469,ENSG00000163931,ENSG00000140612,ENSG00000118363","GNG2,TKT,SEC11A,SPCS2",biological_process,energy reserve metabolic process,5,4,116,5.23718475339,-0.105149498579,excluded,iPSC
GO:0045666,"ENSG00000150093,ENSG00000270136,ENSG00000067560,ENSG00000008294","ITGB1,MINOS1-NBL1,RHOA,SPAG9",biological_process,positive regulation of neuron differentiation,5,4,67,5.23718475339,-0.105149498579,excluded,iPSC
GO:0051289,"ENSG00000149925,ENSG00000156256,ENSG00000087470,ENSG00000178035","ALDOA,USP16,DNM1L,IMPDH2",biological_process,protein homotetramerization,5,4,49,5.23718475339,-0.105149498579,excluded,iPSC
GO:0006644,"ENSG00000101558,ENSG00000102393,ENSG00000133027,ENSG00000143753","VAPA,GLA,PEMT,DEGS1",biological_process,phospholipid metabolic process,5,4,260,5.23718475339,-0.105149498579,excluded,iPSC
GO:0007163,"ENSG00000070831,ENSG00000138071,ENSG00000131236,ENSG00000127603","CDC42,ACTR2,CAP1,MACF1",biological_process,establishment or maintenance of cell polarity,5,4,24,5.23718475339,-0.105149498579,excluded,iPSC
GO:0090090,"ENSG00000123349,ENSG00000134982,ENSG00000145907,ENSG00000196591","PFDN5,APC,G3BP1,HDAC2",biological_process,negative regulation of canonical Wnt receptor signaling pathway,5,4,79,5.23718475339,-0.105149498579,excluded,iPSC
GO:0030521,"ENSG00000086061,ENSG00000138293,ENSG00000054118,ENSG00000067560","DNAJA1,NCOA4,THRAP3,RHOA",biological_process,androgen receptor signaling pathway,5,4,49,5.23718475339,-0.105149498579,excluded,iPSC
GO:0006888,"ENSG00000138674,ENSG00000170348,ENSG00000079332,ENSG00000157020","SEC31A,TMED10,SAR1A,SEC13",biological_process,ER to Golgi vesicle-mediated transport,5,4,48,5.23718475339,-0.105149498579,excluded,iPSC
GO:0006913,"ENSG00000099246,ENSG00000174891,ENSG00000166128,ENSG00000126653","RAB18,RSRC1,RAB8B,NSRP1",biological_process,nucleocytoplasmic transport,5,4,117,5.23718475339,-0.105149498579,excluded,iPSC
GO:0007219,"ENSG00000100387,ENSG00000168214,ENSG00000113558,ENSG00000221983","RBX1,RBPJ,SKP1,UBA52",biological_process,Notch signaling pathway,5,4,124,5.23718475339,-0.105149498579,excluded,iPSC
GO:0006914,"ENSG00000062716,ENSG00000103194,ENSG00000140941,ENSG00000145782","VMP1,USP10,MAP1LC3B,ATG12",biological_process,autophagy,5,4,67,5.23718475339,-0.105149498579,excluded,iPSC
GO:0007010,"ENSG00000151914,ENSG00000196504,ENSG00000131236,ENSG00000163069","DST,PRPF40A,CAP1,SGCB",biological_process,cytoskeleton organization,5,4,131,5.23718475339,-0.105149498579,excluded,iPSC
GO:0010976,"ENSG00000150093,ENSG00000239672,ENSG00000011052,ENSG00000169139","ITGB1,NME1,NME2,UBE2V2",biological_process,positive regulation of neuron projection development,5,4,50,5.23718475339,-0.105149498579,excluded,iPSC
GO:0007179,"ENSG00000082258,ENSG00000114126,ENSG00000109332,ENSG00000067560,ENSG00000221983","CCNT2,TFDP2,UBE2D3,RHOA,UBA52",biological_process,transforming growth factor beta receptor signaling pathway,7,5,124,4.69710689523,-0.64522735673,excluded,iPSC
GO:0006470,"ENSG00000054148,ENSG00000119414,ENSG00000184007,ENSG00000058272","PHPT1,PPP6C,PTP4A2,PPP1R12A",biological_process,protein dephosphorylation,6,4,149,3.79057668887,-1.5517575631,excluded,iPSC
GO:0001934,"ENSG00000204628,ENSG00000070831,ENSG00000121989,ENSG00000189403","GNB2L1,CDC42,ACVR2A,HMGB1",biological_process,positive regulation of protein phosphorylation,6,4,104,3.79057668887,-1.5517575631,excluded,iPSC
GO:0007249,"ENSG00000074696,ENSG00000163512,ENSG00000221983","PTPLAD1,AZI2,UBA52",biological_process,I-kappaB kinase/NF-kappaB cascade,5,3,50,2.90823340724,-2.43410084472,excluded,iPSC
GO:0006446,"ENSG00000147677,ENSG00000104408,ENSG00000122033","EIF3H,EIF3E,MTIF3",biological_process,regulation of translational initiation,5,3,28,2.90823340724,-2.43410084472,excluded,iPSC
GO:0006695,"ENSG00000160752,ENSG00000079459,ENSG00000147155","FDPS,FDFT1,EBP",biological_process,cholesterol biosynthetic process,5,3,37,2.90823340724,-2.43410084472,excluded,iPSC
GO:0007265,"ENSG00000166913,ENSG00000148484,ENSG00000145907,ENSG00000138757","YWHAB,RSU1,G3BP1,G3BP2",biological_process,Ras protein signal transduction,7,4,81,2.87821699935,-2.46411725262,excluded,iPSC
GO:0019221,"ENSG00000151247,ENSG00000221983,ENSG00000065548,ENSG00000116030,ENSG00000102900,ENSG00000068745","EIF4E,UBA52,ZC3H15,SUMO1,NUP93,IP6K2",biological_process,cytokine-mediated signaling pathway,12,6,311,2.45685649225,-2.88547775971,excluded,iPSC
GO:0008543,"ENSG00000166913,ENSG00000143933,ENSG00000198668,ENSG00000221983","YWHAB,CALM2,CALM1,UBA52",biological_process,fibroblast growth factor receptor signaling pathway,8,4,122,2.23270971462,-3.10962453734,excluded,iPSC
